t,pressure_pa,altitude_m,filled
744.0,100769.75,46.330031,0
745.0,100767.25,46.539098,0
746.0,100760.5,47.103599,0
747.0,100750.75,47.919044,0
748.0,100738.5,48.943668,0
749.0,100723.5,50.198447,0
750.0,100712.0909,51.152941,1
751.0,100700.6818,52.107522,1
752.0,100689.2727,53.062191,1
753.0,100677.8636,54.016947,1
754.0,100666.4545,54.971792,1
755.0,100655.0455,55.926723,1
756.0,100643.6364,56.881743,1
757.0,100632.2273,57.83685,1
758.0,100620.8182,58.792044,1
759.0,100609.4091,59.747327,1
760.0,100598.0,60.702697,0
761.0,100595.5,60.912053,0
762.0,100593.75,61.058604,0
763.0,100592.5,61.163285,0
764.0,100592.25,61.184222,0
765.0,100592.25,61.184222,0
766.0,100591.5,61.247031,0
767.0,100590.5,61.330777,0
768.0,100590.25,61.351714,0
769.0,100590.5,61.330777,0
770.0,100591.25,61.267967,0
771.0,100596.75,60.807374,0
772.0,100602.5,60.325867,0
773.0,100608.5,59.823449,0
774.0,100613.0,59.446651,0
775.0,100617.0,59.111731,0
776.0,100619.25,58.923343,0
777.0,100621.0,58.776821,0
778.0,100623.0,58.609371,0
779.0,100624.75,58.462854,0
780.0,100624.75,58.462854,0
781.0,100624.5,58.483785,0
782.0,100624.5,58.483785,0
783.0,100625.75,58.379131,0
784.0,100626.75,58.295408,0
785.0,100627.25,58.253547,0
786.0,100627.75,58.211687,0
787.0,100628.5,58.148896,0
788.0,100631.75,57.876806,0
789.0,100638.75,57.290792,0
790.0,100652.0,56.18164,0
791.0,100662.75,55.281849,0
792.0,100672.25,54.48675,0
793.0,100679.25,53.900927,0
794.0,100685.0,53.419739,0
795.0,100689.5,53.043173,0
796.0,100692.5,52.792136,0
797.0,100694.75,52.603863,0
798.0,100697.0,52.415593,0
799.0,100698.75,52.269163,0
800.0,100699.75,52.18549,0
801.0,100699.75,52.18549,0
802.0,100699.75,52.18549,0
803.0,100699.0,52.248245,0
804.0,100699.5,52.206408,0
805.0,100700.5,52.122735,0
806.0,100704.0,51.829886,0
807.0,100712.25,51.13963,0
808.0,100723.5,50.198447,0
809.0,100739.25,48.880933,0
810.0,100754.5,47.605404,0
811.0,100766.5,46.601819,0
812.0,100776.25,45.786477,0
813.0,100783.5,45.180239,0
814.0,100789.75,44.657648,0
815.0,100794.0,44.302301,0
816.0,100797.0,44.051475,0
817.0,100800.0,43.800656,0
818.0,100802.25,43.612545,0
819.0,100804.25,43.445338,0
820.0,100805.75,43.319935,0
821.0,100805.75,43.319935,0
822.0,100807.25,43.194533,0
823.0,100807.5,43.173633,0
824.0,100807.25,43.194533,0
825.0,100808.25,43.110933,0
826.0,100808.0,43.131833,0
827.0,100808.0,43.131833,0
828.0,100808.5,43.090033,0
829.0,100809.25,43.027333,0
830.0,100813.5,42.672042,0
831.0,100821.5,42.003291,0
832.0,100833.0,41.042038,0
833.0,100847.0,39.871936,0
834.0,100860.75,38.722857,0
835.0,100873.5,37.65746,0
836.0,100883.75,36.801044,0
837.0,100890.5,36.237101,0
838.0,100896.25,35.75673,0
839.0,100899.75,35.46434,0
840.0,100902.25,35.255496,0
841.0,100903.25,35.171959,0
842.0,100905.25,35.004888,0
843.0,100906.75,34.879586,0
844.0,100908.0,34.775169,0
845.0,100908.75,34.71252,0
846.0,100910.0,34.608104,0
